soil_type,state,moisture_percent,time,pump_state,,,,,,
sand,wet,226,02:48:51,0,,,,,,
sand,wet,222,02:49:51,0,,,,,,
sand,wet,223,02:50:51,0,,,,,,
sand,wet,223,02:51:51,0,,,,,,
sand,wet,224,02:52:51,0,,,,,,
sand,wet,223,02:53:51,0,,,,,,
sand,wet,222,02:54:51,0,,,,,,
sand,wet,221,02:55:51,0,,,,,,
sand,wet,222,02:56:51,0,,,,,,
sand,wet,223,02:57:51,0,,,,,,
sand,wet,223,02:58:51,0,,,,,,
sand,wet,220,02:59:51,0,,,,,,
sand,wet,221,03:00:51,0,,,,,,
sand,wet,222,03:01:51,0,,,,,,
sand,wet,222,03:02:51,0,,,,,,
sand,wet,221,03:03:51,0,,,,,,
sand,wet,221,03:04:51,0,,,,,,
sand,wet,221,03:05:51,0,,,,,,
sand,wet,221,03:06:51,0,,,,,,
sand,wet,224,03:07:51,0,,,,,,
sand,wet,222,03:08:51,0,,,,,,
sand,wet,221,03:09:51,0,,,,,,
sand,wet,221,03:10:51,0,,,,,,
sand,wet,222,03:11:51,0,,,,,,
sand,wet,224,03:12:51,0,,,,,,
sand,wet,224,03:13:51,0,,,,,,
sand,wet,221,03:14:51,0,,,,,,
sand,wet,222,03:15:51,0,,,,,,
sand,wet,221,03:16:51,0,,,,,,
sand,wet,224,03:17:51,0,,,,,,
sand,wet,225,03:18:51,0,,,,,,
sand,wet,222,03:19:51,0,,,,,,
sand,wet,221,03:20:51,0,,,,,,
sand,wet,221,03:21:51,0,,,,,,
sand,wet,221,03:22:51,0,,,,,,
sand,wet,223,03:23:51,0,,,,,,
sand,wet,223,03:24:51,0,,,,,,
sand,wet,221,03:25:51,0,,,,,,
sand,wet,221,03:26:51,0,,,,,,
sand,wet,222,03:27:51,0,,,,,,
sand,wet,224,03:28:51,0,,,,,,
sand,wet,221,03:29:51,0,,,,,,
sand,wet,220,03:30:51,0,,,,,,
sand,wet,221,03:31:51,0,,,,,,
sand,wet,222,03:32:52,0,,,,,,
sand,wet,224,03:33:52,0,,,,,,
sand,wet,222,03:34:52,0,,,,,,
sand,wet,222,03:35:52,0,,,,,,
sand,wet,223,03:36:52,0,,,,,,
sand,wet,223,03:37:52,0,,,,,,
sand,wet,225,03:38:52,0,,,,,,
sand,wet,226,03:39:52,0,,,,,,
sand,wet,223,03:40:52,0,,,,,,
sand,wet,222,03:41:52,0,,,,,,
sand,wet,222,03:42:52,0,,,,,,
sand,wet,224,03:43:52,0,,,,,,
sand,wet,224,03:44:52,0,,,,,,
sand,wet,222,03:45:52,0,,,,,,
sand,wet,221,03:46:52,0,,,,,,
sand,wet,223,03:47:52,0,,,,,,
sand,wet,224,03:48:52,0,,,,,,
sand,wet,225,03:49:52,0,,,,,,
sand,wet,225,03:50:52,0,,,,,,
sand,wet,222,03:51:52,0,,,,,,
sand,wet,222,03:52:52,0,,,,,,
sand,wet,223,03:53:52,0,,,,,,
sand,wet,224,03:54:52,0,,,,,,
sand,wet,224,03:55:52,0,,,,,,
sand,wet,225,03:56:52,0,,,,,,
sand,wet,223,03:57:52,0,,,,,,
sand,wet,223,03:58:52,0,,,,,,
sand,wet,225,03:59:52,0,,,,,,
sand,wet,225,04:00:52,0,,,,,,
sand,wet,225,04:01:52,0,,,,,,
sand,wet,222,04:02:52,0,,,,,,
sand,wet,223,04:03:52,0,,,,,,
sand,wet,224,04:04:52,0,,,,,,
sand,wet,225,04:05:52,0,,,,,,
sand,wet,224,04:06:52,0,,,,,,
sand,wet,224,04:07:52,0,,,,,,
sand,wet,223,04:08:52,0,,,,,,
sand,wet,225,04:09:52,0,,,,,,
sand,wet,225,04:10:52,0,,,,,,
sand,wet,226,04:11:52,0,,,,,,
sand,wet,223,04:12:52,0,,,,,,
sand,wet,224,04:13:52,0,,,,,,
sand,wet,225,04:14:52,0,,,,,,
sand,wet,226,04:15:52,0,,,,,,
sand,wet,223,04:16:52,0,,,,,,
sand,wet,224,04:17:53,0,,,,,,
sand,wet,226,04:18:53,0,,,,,,
sand,wet,226,04:19:53,0,,,,,,
sand,wet,227,04:20:53,0,,,,,,
sand,wet,222,04:21:53,0,,,,,,
sand,wet,223,04:22:53,0,,,,,,
sand,wet,223,04:23:53,0,,,,,,
sand,wet,225,04:24:53,0,,,,,,
sand,wet,225,04:25:53,0,,,,,,
sand,wet,223,04:26:53,0,,,,,,
sand,wet,223,04:27:53,0,,,,,,
sand,wet,223,04:28:53,0,,,,,,
sand,wet,223,04:29:53,0,,,,,,
sand,wet,224,04:30:53,0,,,,,,
sand,wet,222,04:31:53,0,,,,,,
sand,wet,222,04:32:53,0,,,,,,
sand,wet,220,04:33:53,0,,,,,,
sand,wet,222,04:34:53,0,,,,,,
sand,wet,223,04:35:53,0,,,,,,
sand,wet,224,04:36:53,0,,,,,,
sand,wet,221,04:37:53,0,,,,,,
sand,wet,223,04:38:53,0,,,,,,
sand,wet,223,04:39:53,0,,,,,,
sand,wet,221,04:40:53,0,,,,,,
sand,wet,221,04:41:53,0,,,,,,
sand,wet,222,04:42:53,0,,,,,,
sand,wet,222,04:43:53,0,,,,,,
sand,wet,221,04:44:53,0,,,,,,
sand,wet,221,04:45:53,0,,,,,,
sand,wet,221,04:46:53,0,,,,,,
sand,wet,221,04:47:53,0,,,,,,
sand,wet,222,04:48:53,0,,,,,,
sand,wet,224,04:49:53,0,,,,,,
sand,wet,222,04:50:53,0,,,,,,
sand,wet,223,04:51:53,0,,,,,,
sand,wet,224,04:52:53,0,,,,,,
sand,wet,224,04:53:53,0,,,,,,
sand,wet,222,04:54:53,0,,,,,,
sand,wet,221,04:55:53,0,,,,,,
sand,wet,224,04:56:53,0,,,,,,
sand,wet,224,04:57:53,0,,,,,,
sand,wet,221,04:58:53,0,,,,,,
sand,wet,219,04:59:53,0,,,,,,
sand,wet,219,05:00:53,0,,,,,,
sand,wet,219,05:01:53,0,,,,,,
sand,wet,219,05:02:54,0,,,,,,
sand,wet,221,05:03:54,0,,,,,,
sand,wet,219,05:04:54,0,,,,,,
sand,wet,219,05:05:54,0,,,,,,
sand,wet,220,05:06:54,0,,,,,,
sand,wet,220,05:07:54,0,,,,,,
sand,wet,219,05:08:54,0,,,,,,
sand,wet,220,05:09:54,0,,,,,,
sand,wet,220,05:10:54,0,,,,,,
sand,wet,221,05:11:54,0,,,,,,
sand,wet,222,05:12:54,0,,,,,,
sand,wet,222,05:13:54,0,,,,,,
sand,wet,221,05:14:54,0,,,,,,
sand,wet,220,05:15:54,0,,,,,,
sand,wet,219,05:16:54,0,,,,,,
sand,wet,222,05:17:54,0,,,,,,
sand,wet,222,05:18:54,0,,,,,,
sand,wet,220,05:19:54,0,,,,,,
sand,wet,220,05:20:54,0,,,,,,
sand,wet,221,05:21:54,0,,,,,,
sand,wet,222,05:22:54,0,,,,,,
sand,wet,220,05:23:54,0,,,,,,
sand,wet,222,05:24:54,0,,,,,,
sand,wet,221,05:25:54,0,,,,,,
sand,wet,222,05:26:54,0,,,,,,
sand,wet,224,05:27:54,0,,,,,,
sand,wet,224,05:28:54,0,,,,,,
sand,wet,223,05:29:54,0,,,,,,
sand,wet,222,05:30:54,0,,,,,,
sand,wet,220,05:31:54,0,,,,,,
sand,wet,219,05:32:54,0,,,,,,
sand,wet,221,05:33:54,0,,,,,,
sand,wet,222,05:34:54,0,,,,,,
sand,wet,221,05:35:54,0,,,,,,
sand,wet,220,05:36:54,0,,,,,,
sand,wet,223,05:37:54,0,,,,,,
sand,wet,222,05:38:54,0,,,,,,
sand,wet,219,05:39:54,0,,,,,,
sand,wet,220,05:40:54,0,,,,,,
sand,wet,219,05:41:54,0,,,,,,
sand,wet,221,05:42:54,0,,,,,,
sand,wet,222,05:43:54,0,,,,,,
sand,wet,219,05:44:54,0,,,,,,
sand,wet,221,05:45:54,0,,,,,,
sand,wet,223,05:46:55,0,,,,,,
sand,wet,218,05:47:55,0,,,,,,
sand,wet,221,05:48:55,0,,,,,,
sand,wet,219,05:49:55,0,,,,,,
sand,wet,220,05:50:55,0,,,,,,
sand,wet,219,05:51:55,0,,,,,,
sand,wet,221,05:52:55,0,,,,,,
sand,wet,223,05:53:55,0,,,,,,
sand,wet,221,05:54:55,0,,,,,,
sand,wet,220,05:55:55,0,,,,,,
sand,wet,222,05:56:55,0,,,,,,
sand,wet,218,05:57:55,0,,,,,,
sand,wet,220,05:58:55,0,,,,,,
sand,wet,220,05:59:55,0,,,,,,
sand,wet,220,06:00:55,0,,,,,,
sand,wet,221,06:01:55,0,,,,,,
sand,wet,220,06:02:55,0,,,,,,
sand,wet,219,06:03:55,0,,,,,,
sand,wet,221,06:04:55,0,,,,,,
sand,wet,221,06:05:55,0,,,,,,
sand,wet,220,06:06:55,0,,,,,,
sand,wet,219,06:07:55,0,,,,,,
sand,wet,219,06:08:55,0,,,,,,
sand,wet,221,06:09:55,0,,,,,,
sand,wet,221,06:10:55,0,,,,,,
sand,wet,218,06:11:55,0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
