state,moisture_percent,time,pump_state,LDR
dry,224,03:55:52,0,131
dry,225,03:56:52,0,57
dry,223,03:57:52,0,145
dry,223,03:58:52,0,115
dry,225,03:59:52,0,91
dry,225,04:00:52,0,128
dry,225,04:01:52,0,95
dry,222,04:02:52,0,150
dry,223,04:03:52,0,104
dry,224,04:04:52,0,80
dry,225,04:05:52,0,107
dry,224,04:06:52,0,142
dry,224,04:07:52,0,130
dry,223,04:08:52,0,122
dry,225,04:09:52,0,69
dry,225,04:10:52,0,50
dry,226,04:11:52,0,129
dry,223,04:12:52,0,145
dry,224,04:13:52,0,52
dry,225,04:14:52,0,56
dry,226,04:15:52,0,9999
dry,223,04:16:52,0,125
dry,224,04:17:53,0,109
dry,226,04:18:53,0,120
dry,226,04:19:53,0,80
dry,227,04:20:53,0,79
dry,222,04:21:53,0,137
dry,223,04:22:53,0,127
dry,223,04:23:53,0,128
dry,225,04:24:53,0,125
dry,225,04:25:53,0,9999
dry,223,04:26:53,0,73
dry,223,04:27:53,0,142
dry,223,04:28:53,0,74
dry,223,04:29:53,0,114
dry,224,04:30:53,0,0
dry,222,04:31:53,0,86
dry,222,04:32:53,0,104
dry,220,04:33:53,0,146
dry,222,04:34:53,0,106
dry,223,04:35:53,0,117
dry,224,04:36:53,0,140
dry,221,04:37:53,0,61
dry,223,04:38:53,0,107
dry,223,04:39:53,0,145
dry,221,04:40:53,0,69
dry,221,04:41:53,0,110
dry,222,04:42:53,0,113
dry,222,04:43:53,0,133
dry,221,04:44:53,0,126
dry,221,04:45:53,0,141
dry,221,04:46:53,0,120
dry,221,04:47:53,0,124
dry,222,04:48:53,0,98
dry,224,04:49:53,0,-10
dry,222,04:50:53,0,123
dry,223,04:51:53,0,82
dry,224,04:52:53,0,74
dry,224,04:53:53,0,118
dry,222,04:54:53,0,142
dry,221,04:55:53,0,87
dry,224,04:56:53,0,117
dry,224,04:57:53,0,76
dry,221,04:58:53,0,66
dry,219,04:59:53,0,9999
dry,219,05:00:53,0,54
dry,219,05:01:53,0,97
dry,219,05:02:54,0,111
dry,221,05:03:54,0,144
dry,219,05:04:54,0,129
dry,219,05:05:54,0,135
dry,220,05:06:54,0,146
dry,220,05:07:54,0,97
dry,219,05:08:54,0,133
dry,220,05:09:54,0,146
dry,220,05:10:54,0,114
dry,221,05:11:54,0,0
dry,222,05:12:54,0,76
dry,222,05:13:54,0,94
dry,221,05:14:54,0,77
dry,220,05:15:54,0,59
dry,219,05:16:54,0,59
dry,222,05:17:54,0,122
dry,222,05:18:54,0,66
dry,220,05:19:54,0,85
dry,220,05:20:54,0,-10
dry,221,05:21:54,0,114
dry,222,05:22:54,0,139
dry,220,05:23:54,0,77
dry,222,05:24:54,0,135
dry,221,05:25:54,0,0
dry,222,05:26:54,0,136
dry,224,05:27:54,0,127
dry,224,05:28:54,0,122
dry,223,05:29:54,0,125
dry,222,05:30:54,0,72
dry,220,05:31:54,0,118
dry,219,05:32:54,0,62
dry,221,05:33:54,0,99
dry,222,05:34:54,0,111
dry,221,05:35:54,0,86
dry,220,05:36:54,0,125
dry,223,05:37:54,0,63
dry,222,05:38:54,0,68
dry,219,05:39:54,0,87
dry,220,05:40:54,0,76
dry,219,05:41:54,0,90
dry,221,05:42:54,0,118
dry,222,05:43:54,0,50
dry,219,05:44:54,0,102
dry,221,05:45:54,0,79
dry,223,05:46:55,0,80
dry,218,05:47:55,0,96
dry,221,05:48:55,0,123
dry,219,05:49:55,0,142
